,class
14177,neg
13576,neg
806,neg
958,neg
33125,neg
16005,neg
32926,neg
9585,neg
4605,neg
17412,neg
32605,neg
5101,neg
2729,neg
10055,neg
32539,neg
33227,neg
15005,neg
2896,neg
21135,neg
10875,neg
241,pos
26655,neg
25487,neg
32131,neg
22329,neg
34007,neg
31365,neg
2532,neg
21271,neg
32950,neg
29773,neg
21115,neg
33267,neg
18633,neg
32767,neg
9146,neg
429,pos
15839,neg
4951,neg
30378,neg
25435,neg
188,pos
30390,neg
4748,neg
33014,neg
14535,neg
30658,neg
29463,neg
3725,neg
6193,neg
11051,neg
33174,neg
28206,neg
31164,pos
16603,neg
15548,neg
4325,neg
33303,neg
22951,neg
13882,neg
15465,neg
35564,neg
27409,neg
27590,pos
18380,neg
8562,neg
24049,neg
5156,neg
8191,neg
22898,neg
24837,neg
1731,neg
4257,neg
22274,neg
11693,neg
26441,neg
12059,neg
35686,neg
34712,neg
12338,neg
10271,neg
16867,neg
11614,neg
25685,neg
12248,neg
19808,neg
17107,neg
29636,neg
19213,neg
5735,neg
548,neg
13325,neg
24232,neg
14037,neg
23522,neg
23231,neg
34604,neg
2333,neg
29409,neg
25481,neg
23600,neg
18326,neg
14918,neg
28966,neg
17683,neg
29718,neg
16909,neg
14570,neg
1027,neg
32081,neg
27176,neg
32552,neg
18276,neg
7676,neg
30382,pos
13707,pos
14070,neg
18138,neg
21732,neg
4129,neg
24508,neg
6130,neg
22469,neg
25958,neg
22262,neg
2233,neg
994,neg
25279,neg
6062,neg
34259,neg
24158,neg
15683,neg
21183,neg
15263,neg
1943,neg
26631,neg
20724,neg
36155,neg
36031,neg
34603,neg
31873,neg
1938,neg
10097,neg
27336,neg
18948,neg
11742,neg
31574,neg
2157,neg
29646,neg
25994,neg
6255,neg
24388,neg
16500,neg
18857,neg
11124,neg
26406,neg
11259,neg
15069,neg
11006,neg
10929,neg
8534,neg
25174,neg
33834,neg
16804,neg
18566,neg
9975,neg
28631,neg
18225,neg
21086,neg
13597,neg
12761,neg
26035,neg
13754,neg
3260,neg
26393,neg
191,pos
22693,neg
16038,neg
27814,neg
29635,neg
34550,neg
5728,neg
11069,neg
7228,neg
20884,neg
8604,neg
20809,neg
29554,neg
16343,neg
11174,neg
31998,neg
4185,neg
28885,neg
11132,neg
24734,neg
24602,neg
10519,neg
32869,neg
35958,neg
4850,neg
35993,neg
24925,neg
14766,neg
32381,neg
34475,neg
7290,neg
30278,neg
3322,neg
31895,neg
17274,neg
5609,neg
5740,neg
10003,neg
23924,neg
33722,neg
23314,neg
13405,neg
4234,neg
31630,neg
35727,neg
32868,neg
16085,neg
30917,neg
3223,neg
14639,neg
19943,neg
16999,neg
6977,pos
25387,neg
19741,neg
7481,neg
26387,neg
32611,neg
27706,neg
16680,neg
18157,neg
21859,neg
19406,neg
11741,neg
2879,neg
11217,neg
16711,neg
9738,neg
15855,neg
24712,neg
28650,neg
1898,neg
10369,neg
26757,neg
12856,neg
25001,neg
657,neg
9238,neg
27066,neg
25797,neg
7145,neg
8856,neg
4872,neg
15002,neg
15148,neg
19791,neg
22916,neg
32248,neg
16619,neg
973,neg
15785,neg
28567,neg
35836,neg
17452,neg
18665,neg
27602,neg
17555,neg
19543,neg
3646,neg
23408,neg
25726,neg
32285,neg
30057,neg
34485,neg
34921,neg
2241,neg
23709,neg
30963,neg
14306,neg
35037,neg
5935,neg
27783,neg
8354,neg
34748,neg
576,neg
8150,neg
26241,neg
15622,neg
4043,neg
3842,neg
24683,neg
14688,neg
371,pos
25414,neg
3430,neg
26091,neg
10872,neg
21432,neg
28069,neg
18540,neg
31334,neg
35099,neg
25941,neg
33439,neg
6399,neg
15024,neg
21692,neg
5793,neg
6449,neg
7015,neg
30128,neg
14378,neg
13464,pos
16687,neg
4355,neg
16618,neg
32459,neg
36073,neg
32606,neg
16315,neg
2143,neg
34686,neg
8158,neg
24132,neg
5747,neg
17092,neg
8851,neg
17020,neg
10787,neg
6009,neg
22818,neg
29093,neg
24297,neg
7532,neg
12592,neg
22028,neg
21799,neg
22873,neg
34813,neg
24946,neg
11643,neg
286,pos
24700,neg
28137,neg
5664,neg
34882,neg
4410,neg
13334,neg
9810,neg
7690,neg
29320,neg
4888,neg
14562,neg
1394,neg
31307,neg
11090,neg
29099,neg
13681,neg
6681,neg
12616,neg
12005,neg
30728,neg
7373,neg
8980,neg
13469,neg
34234,neg
14451,neg
18762,neg
18178,neg
13517,neg
2834,neg
10686,neg
2375,neg
28116,neg
3888,neg
34148,neg
22936,neg
5565,neg
6890,neg
28799,neg
8112,neg
18361,neg
7224,neg
4914,neg
33187,neg
1793,neg
3217,neg
30106,neg
34792,neg
26506,neg
3180,neg
11563,neg
13149,neg
4117,neg
20700,neg
26039,neg
5478,neg
8409,neg
28014,neg
26040,neg
21403,neg
11633,neg
27586,neg
17929,neg
16147,neg
3243,neg
14554,neg
20240,neg
2625,neg
23235,neg
35090,neg
14328,pos
18632,neg
20436,neg
18293,neg
31604,neg
23436,neg
23015,neg
5610,neg
28645,neg
5018,neg
26993,neg
61,pos
1219,neg
14598,neg
7091,neg
18977,neg
848,neg
4280,neg
18729,neg
5247,neg
20770,neg
11884,neg
26093,neg
22173,neg
18083,neg
31080,neg
16605,neg
13954,neg
18419,neg
28088,neg
30677,neg
12255,neg
17396,neg
27843,neg
7300,neg
4900,neg
30023,neg
9161,neg
22865,neg
5252,neg
23619,neg
24575,neg
5749,neg
13904,neg
32923,neg
28597,neg
34764,neg
16292,neg
10288,neg
27900,neg
9849,neg
2897,neg
17095,neg
17757,neg
4059,neg
16898,neg
12581,neg
24116,neg
26739,neg
33636,neg
23902,neg
12369,neg
34518,neg
2174,neg
3444,neg
3418,neg
17775,neg
34236,neg
22617,neg
32301,neg
33799,neg
22306,neg
30024,neg
16509,neg
10609,neg
30209,neg
18086,neg
1480,neg
23254,neg
5410,neg
26410,neg
6534,neg
8144,neg
22331,neg
6713,neg
21666,neg
9626,neg
7912,neg
4240,neg
18337,neg
19282,neg
12272,neg
31931,neg
4609,neg
20394,neg
26010,neg
4555,neg
10291,neg
21284,neg
21497,neg
4836,neg
34231,neg
24900,neg
34816,neg
25640,neg
583,neg
27732,neg
16696,neg
4194,neg
31599,neg
1441,neg
27583,neg
27636,neg
33494,pos
3497,neg
8921,neg
21563,neg
30434,neg
16517,neg
1268,neg
22495,neg
12057,neg
25863,neg
22682,neg
12562,neg
32972,neg
35792,neg
20805,neg
15060,neg
7003,neg
25211,neg
18155,neg
29369,neg
593,neg
15075,neg
34442,neg
3550,neg
10720,neg
29477,neg
30473,neg
20648,neg
14128,neg
19240,neg
7567,neg
14667,neg
8741,neg
24210,neg
17322,neg
26366,neg
2642,neg
26375,neg
13332,neg
5206,neg
4738,neg
6547,neg
27698,neg
158,pos
23150,neg
5102,neg
10772,neg
19116,neg
29551,neg
35210,neg
14200,neg
15100,neg
9818,neg
20890,neg
2460,neg
17254,neg
31185,neg
22746,neg
9744,neg
16037,neg
12075,neg
10976,neg
10413,neg
23906,neg
18101,neg
3115,neg
31141,neg
4940,neg
23952,neg
35825,neg
3470,neg
9969,neg
9260,neg
26467,neg
15819,neg
10894,neg
26195,neg
36117,neg
22498,neg
6361,neg
27649,neg
11995,neg
15,pos
20262,neg
5780,neg
29165,neg
1395,neg
19940,neg
22239,neg
9261,neg
24282,neg
11688,neg
28971,neg
14538,neg
20802,neg
26833,neg
26351,neg
20479,neg
119,pos
27052,neg
18584,neg
19232,neg
25648,neg
24110,neg
16562,neg
12087,neg
16348,neg
30952,neg
11144,neg
8767,neg
3326,neg
14904,neg
15792,neg
5772,neg
19269,neg
9359,neg
12461,neg
10395,neg
17513,neg
9925,neg
24173,neg
29791,neg
1749,neg
12281,neg
2386,neg
9029,neg
32886,neg
28983,neg
22823,neg
29418,neg
1681,neg
27941,neg
17225,neg
34075,neg
32433,neg
4473,neg
21129,neg
24844,neg
17321,neg
31651,neg
17637,pos
1863,neg
12786,neg
33826,neg
384,pos
17494,neg
34753,neg
5294,neg
13358,neg
420,pos
17499,neg
32432,neg
2500,neg
26080,neg
15545,neg
1971,neg
17471,neg
17210,neg
6452,neg
29135,neg
15821,neg
5660,neg
25779,neg
24547,neg
6809,neg
12881,neg
16212,neg
36159,neg
28081,neg
5391,neg
13136,neg
6340,neg
14030,neg
21468,neg
5052,neg
29762,neg
24821,neg
2039,neg
18795,neg
28459,neg
20118,neg
26645,neg
6711,neg
357,pos
33278,neg
30743,neg
1712,neg
7818,neg
5191,neg
12007,neg
11953,neg
26247,neg
7642,neg
13365,neg
2066,neg
4148,neg
24337,neg
12438,neg
921,neg
12773,neg
10115,neg
10535,neg
2028,neg
17430,neg
10114,neg
2797,neg
15113,neg
34470,neg
7570,neg
16203,neg
27561,neg
2917,neg
23016,neg
13534,neg
15253,neg
13144,neg
12466,neg
32913,neg
8846,neg
22760,neg
27330,neg
31170,neg
33059,neg
14182,neg
22966,neg
11982,neg
15977,neg
22799,neg
31695,neg
21113,neg
3198,neg
19266,neg
25955,neg
6560,neg
4477,neg
27087,neg
18133,neg
35676,neg
22663,neg
8884,neg
14521,neg
29303,neg
31703,neg
26468,neg
18047,neg
24176,neg
10983,neg
22042,neg
10838,neg
11160,neg
21439,neg
235,pos
2215,neg
19152,neg
34422,neg
20434,neg
34815,neg
9376,neg
2621,neg
35311,neg
34441,neg
27276,neg
24412,neg
28535,neg
12186,neg
32824,neg
12071,neg
3096,neg
33762,neg
25940,neg
16192,neg
30607,neg
20334,neg
16520,neg
24020,neg
25177,neg
10684,neg
26950,neg
15116,neg
23196,neg
27008,neg
22785,neg
9410,neg
20205,neg
31121,neg
27500,neg
16874,neg
12555,neg
30827,neg
22789,neg
23311,neg
33794,neg
22907,neg
2965,neg
26322,neg
8411,neg
13392,neg
21194,neg
1611,neg
8416,neg
7124,neg
16882,neg
18891,neg
32700,neg
28969,neg
35887,neg
1835,neg
11564,neg
32276,neg
7811,neg
13837,neg
34584,neg
9507,neg
23891,neg
25705,neg
28378,neg
20617,neg
29658,neg
5804,neg
5663,neg
5507,neg
17799,neg
19255,neg
8927,neg
14060,neg
25883,neg
32071,neg
3179,neg
1571,neg
26143,neg
14170,neg
24199,neg
2134,neg
12010,neg
16113,neg
26515,neg
3089,neg
27960,neg
29934,neg
1595,neg
13235,neg
24823,neg
15525,neg
12096,neg
3396,neg
11917,neg
11680,neg
29159,neg
35700,neg
8794,neg
14141,neg
6901,neg
27686,neg
14374,neg
16817,neg
19814,pos
12626,neg
25301,neg
3010,neg
13106,neg
26840,neg
29908,neg
20399,neg
11027,neg
564,neg
9633,neg
14283,neg
21375,neg
9121,neg
23668,neg
931,neg
17888,neg
31004,neg
21554,pos
32390,neg
32599,neg
27723,neg
29335,neg
26554,neg
6680,neg
16589,neg
25609,neg
16205,neg
12331,neg
29741,neg
23336,neg
8863,neg
26493,neg
1426,neg
16065,neg
23923,neg
20594,neg
16196,neg
13377,neg
10294,neg
3629,neg
2698,neg
3081,neg
929,neg
14474,neg
21427,neg
32773,neg
25513,neg
2175,neg
28581,neg
12771,neg
29598,neg
22646,neg
8673,neg
8424,neg
918,neg
9586,neg
356,pos
515,neg
27387,neg
11397,neg
7873,neg
35338,neg
22857,neg
25767,neg
27026,neg
20976,neg
21898,neg
15907,neg
13125,neg
30011,neg
29005,pos
31414,neg
15825,neg
36178,neg
25907,neg
5107,neg
10634,neg
13344,neg
15815,neg
34870,neg
21253,neg
16588,neg
31854,neg
27120,neg
8938,neg
17374,neg
12293,neg
36129,neg
10236,neg
3995,neg
2975,neg
7630,neg
27040,neg
29220,neg
32772,neg
35510,neg
33327,neg
18350,neg
34599,neg
16002,neg
5217,neg
35057,neg
6481,neg
35157,neg
31570,neg
22066,neg
27736,neg
27949,neg
3087,neg
12064,neg
11736,neg
33146,neg
19396,neg
16278,neg
15803,neg
6180,neg
35935,neg
6875,neg
22205,neg
20147,neg
8264,neg
10549,neg
33870,neg
30639,neg
1810,neg
5064,neg
26590,neg
23548,neg
10255,neg
9243,neg
27611,neg
6885,neg
4254,neg
33469,neg
10447,neg
6578,neg
20528,neg
4990,neg
13769,neg
3700,neg
1398,neg
26275,neg
14096,neg
15202,neg
2619,neg
21095,neg
253,pos
9606,neg
813,neg
9156,neg
12408,neg
9571,neg
33879,neg
24197,neg
15924,neg
9608,pos
8973,neg
10,pos
11867,neg
10265,neg
33141,neg
6906,neg
35358,neg
32316,neg
5110,neg
5318,neg
20429,neg
1829,neg
935,neg
28718,neg
22428,neg
18459,neg
34212,neg
18676,neg
20651,neg
25844,neg
17600,pos
18991,neg
35775,neg
13608,neg
15261,neg
18982,neg
8266,neg
27588,neg
13697,neg
29486,neg
32904,neg
25291,neg
14343,neg
28102,neg
1794,neg
35804,neg
12314,neg
23349,neg
29803,neg
14277,neg
14133,neg
33718,neg
11858,neg
25244,neg
9861,neg
23630,neg
1384,neg
126,pos
16303,neg
24744,neg
448,neg
27019,neg
5307,neg
9631,neg
32013,neg
64,pos
5910,neg
29050,neg
7305,neg
6936,neg
12687,neg
10026,neg
19834,neg
7952,neg
26439,neg
31965,neg
7560,neg
34002,neg
5240,neg
28852,neg
5087,neg
18521,neg
30592,neg
12015,neg
20359,neg
28931,neg
13274,neg
19645,neg
35434,neg
11685,neg
7997,neg
2497,neg
21229,pos
20511,neg
29698,neg
28196,neg
20450,neg
35041,neg
12215,pos
26918,neg
19566,neg
6564,neg
6092,neg
22242,neg
33644,neg
26977,neg
35798,neg
34967,neg
27755,neg
18971,neg
20453,neg
14739,neg
31659,neg
10715,neg
18907,neg
21778,neg
5335,neg
9394,neg
19237,neg
18428,neg
2540,neg
20557,neg
1678,neg
25343,neg
4093,neg
34245,neg
6300,neg
3266,neg
17997,neg
15245,neg
8285,neg
14762,neg
24334,neg
33769,neg
11682,neg
1410,neg
14764,neg
8340,neg
14528,neg
31452,neg
33112,neg
7721,neg
22157,neg
23203,neg
4664,neg
16353,neg
7907,neg
16181,neg
13753,neg
14911,neg
14390,neg
5272,neg
11961,neg
18906,neg
36034,neg
20470,neg
362,pos
634,neg
6248,neg
22597,neg
11694,neg
16728,neg
35348,neg
35114,neg
4714,neg
928,neg
26932,neg
8171,neg
20863,neg
22030,neg
21800,neg
12211,neg
2337,neg
24058,neg
14466,neg
28299,neg
4641,neg
35101,neg
35190,neg
22605,neg
24142,neg
9900,neg
13667,neg
31795,neg
29155,neg
1233,neg
11711,neg
35620,neg
9650,neg
5973,neg
34727,neg
13751,neg
35492,neg
9380,neg
2349,neg
27841,neg
34578,neg
26592,neg
711,neg
4693,neg
18794,neg
23476,neg
24335,neg
7415,neg
17624,neg
8400,neg
30534,neg
3748,neg
29182,neg
26243,neg
3720,neg
2126,neg
22731,neg
4273,neg
20611,neg
29097,neg
22581,neg
15317,neg
30286,pos
13417,neg
3903,neg
29799,neg
3757,neg
21230,neg
24085,neg
5603,neg
32641,neg
11542,neg
8189,neg
13913,neg
4139,neg
13638,neg
27782,neg
746,neg
16115,neg
1992,neg
21366,neg
30291,neg
19450,neg
23565,neg
7087,neg
29996,neg
19222,neg
27512,neg
6178,neg
32283,neg
3769,neg
19022,neg
8249,neg
33467,neg
27264,neg
23970,neg
11199,neg
2280,neg
33311,neg
29108,neg
25354,neg
1005,neg
19063,neg
27671,neg
3107,neg
1575,neg
485,neg
32011,neg
8952,neg
20148,neg
5283,neg
31212,neg
11353,neg
22243,neg
5597,neg
19657,neg
32943,neg
10140,neg
1048,neg
7519,neg
19456,neg
31569,neg
9641,neg
28309,neg
34187,neg
14678,neg
7566,neg
7882,neg
13649,neg
27289,neg
7348,neg
9016,neg
27870,neg
23126,neg
15334,neg
32392,neg
13990,neg
19710,neg
11228,neg
4570,neg
29661,neg
31590,neg
32176,neg
22475,neg
21763,neg
15181,pos
12379,neg
31573,neg
18501,neg
12227,neg
17529,neg
9353,neg
9591,neg
11390,neg
7479,neg
26843,neg
29561,neg
1741,neg
18562,neg
19151,neg
36025,neg
6591,neg
15071,neg
34580,neg
8710,neg
3049,neg
36062,neg
29594,neg
17066,neg
389,pos
26709,neg
8859,neg
3364,neg
16828,neg
1079,pos
31701,neg
34564,neg
2626,neg
1567,neg
22915,neg
9057,neg
22711,neg
28080,neg
33338,neg
30063,neg
26755,neg
21085,neg
26156,neg
4723,neg
3911,neg
13387,neg
34257,neg
2425,neg
31776,neg
853,neg
23153,neg
11101,neg
3953,neg
20376,neg
10329,neg
35092,neg
7215,neg
19754,neg
9241,neg
5289,neg
4756,neg
33555,neg
5113,neg
30533,neg
19885,neg
18158,neg
27647,neg
15083,neg
19068,neg
17813,neg
927,neg
3575,neg
21147,neg
10559,neg
15763,neg
28456,neg
21352,neg
7018,neg
33393,neg
27474,neg
23987,neg
32480,neg
12316,neg
31482,neg
12571,neg
31243,neg
8578,neg
4703,neg
27795,neg
13830,neg
32834,neg
3926,neg
14767,neg
3824,neg
28237,neg
15529,neg
26624,neg
10730,pos
9002,neg
15377,neg
753,neg
1702,neg
6278,neg
27973,neg
3952,neg
27690,neg
34389,neg
3046,neg
3230,neg
9076,neg
27443,neg
3539,neg
35972,neg
27036,neg
8478,neg
31151,neg
27169,neg
20855,neg
11660,neg
12618,neg
23838,neg
1483,neg
9435,neg
17125,neg
31771,neg
10059,neg
27824,neg
17257,neg
35781,neg
23999,neg
6563,neg
1449,neg
9053,neg
25260,neg
7428,neg
26874,neg
5201,neg
3275,neg
3419,neg
13947,neg
26780,neg
5429,neg
9403,neg
19089,neg
17804,neg
13198,neg
11320,neg
14679,neg
8088,neg
26952,neg
15188,neg
4486,neg
189,pos
4089,neg
20709,neg
23160,neg
3127,neg
26047,neg
3785,neg
35392,neg
11211,neg
24913,neg
33737,neg
34876,neg
1844,neg
26391,neg
18464,neg
2815,neg
5606,neg
18978,neg
31426,neg
22219,neg
22,pos
5399,neg
3303,neg
6837,neg
1668,neg
24304,neg
27497,neg
34690,neg
16419,neg
26963,neg
14426,neg
9034,neg
21042,neg
13644,neg
19788,neg
35956,neg
14866,neg
35596,neg
30318,neg
14423,neg
1517,neg
17871,neg
5863,neg
29964,neg
30031,pos
22658,neg
32880,neg
18884,neg
10607,neg
31798,neg
2199,neg
28400,neg
17124,neg
29064,neg
29406,neg
13196,neg
11036,neg
20064,neg
17324,neg
5724,neg
14949,neg
13688,neg
10853,neg
17544,neg
33026,neg
4232,neg
10608,neg
27141,neg
29324,neg
19175,neg
14624,neg
11569,neg
19085,neg
20339,neg
14026,neg
1418,neg
14850,neg
31457,neg
10923,neg
18830,neg
1700,neg
35666,neg
173,pos
20307,neg
25191,neg
3879,neg
20337,neg
28749,neg
6882,neg
12265,neg
6282,neg
32637,neg
12900,neg
14768,neg
6289,neg
18234,neg
31787,neg
9756,neg
7665,neg
30921,neg
177,pos
1637,neg
11429,neg
20133,neg
24698,neg
13526,neg
3515,neg
16580,neg
7555,pos
24938,neg
1332,pos
28216,neg
28054,neg
35430,neg
10224,neg
15782,neg
22073,neg
36175,neg
13036,neg
22500,neg
25566,pos
31009,neg
31025,neg
31705,neg
18399,neg
25549,neg
8178,neg
15733,neg
11856,neg
27263,neg
8417,neg
21458,neg
27470,neg
24287,neg
7735,neg
30955,neg
33097,neg
21444,neg
20173,neg
7351,neg
28646,neg
9767,neg
8737,neg
33140,neg
24464,neg
5629,pos
20660,neg
13515,neg
10396,neg
10809,neg
25815,neg
8982,neg
25096,neg
9885,neg
36158,neg
2872,pos
13187,neg
217,pos
27857,neg
35788,neg
18988,neg
26228,neg
2974,neg
1674,neg
3104,neg
1062,neg
35241,neg
3762,neg
11581,neg
21767,neg
4587,neg
2903,neg
21592,neg
3686,neg
18815,neg
7009,neg
18801,neg
26885,neg
22188,neg
1009,neg
13372,neg
6732,neg
24921,neg
15151,neg
31786,neg
8693,neg
25137,neg
3768,neg
34565,neg
29002,neg
4925,neg
7759,neg
22965,neg
12895,neg
14406,neg
25253,neg
23637,neg
19962,neg
23488,neg
6388,neg
20486,neg
27818,neg
18557,neg
8911,neg
10504,neg
14285,neg
18159,neg
2609,neg
7016,neg
22097,neg
11328,neg
13738,neg
10723,neg
17870,neg
22159,neg
34650,neg
7674,neg
27834,neg
13293,neg
4724,neg
23307,neg
27965,neg
22312,neg
15837,neg
17406,neg
30529,pos
23011,neg
25006,neg
10636,neg
13568,neg
13835,neg
30366,neg
1551,neg
15507,neg
17086,neg
30172,neg
6692,neg
32654,neg
9297,neg
17165,neg
1914,neg
25580,neg
34741,neg
12241,neg
19195,neg
1553,neg
33438,neg
3880,neg
21502,neg
35307,neg
2149,neg
80,pos
22232,neg
33011,neg
9386,neg
11043,neg
3684,neg
28221,neg
9220,neg
26144,neg
11085,neg
16228,neg
22934,neg
7994,neg
14659,neg
6074,neg
27787,neg
32653,neg
30252,neg
10073,neg
25585,neg
30613,neg
4556,neg
1840,neg
16466,neg
11112,neg
21350,neg
3067,neg
18558,neg
33229,neg
9853,neg
11419,neg
24661,neg
11731,pos
7672,pos
5750,neg
21419,neg
28194,neg
13682,neg
26915,neg
15239,neg
29710,neg
29790,neg
31047,neg
13215,neg
19062,neg
25653,neg
16663,neg
29630,neg
19547,neg
34832,neg
34456,neg
25750,neg
30769,neg
29583,neg
11403,neg
14310,neg
14003,neg
12943,neg
31288,neg
19387,neg
24436,neg
15419,neg
35554,neg
24659,neg
2636,neg
27748,neg
8844,neg
27291,neg
3383,neg
22016,neg
5958,neg
2728,neg
16142,neg
28046,neg
11483,neg
30403,neg
7299,neg
17184,neg
13116,neg
32389,neg
30861,neg
25820,neg
16938,neg
2674,neg
33657,neg
757,neg
589,neg
30138,neg
3766,neg
2012,neg
9694,neg
15011,neg
20732,neg
16383,neg
11489,neg
13411,neg
28868,neg
17111,neg
19146,neg
2717,neg
12588,neg
11602,neg
9130,neg
4542,neg
15186,neg
1921,pos
15516,neg
12782,pos
24340,neg
5923,neg
7976,neg
12274,neg
29124,neg
23651,neg
21165,neg
17898,neg
15065,neg
9272,neg
6379,neg
26926,neg
20915,neg
1130,neg
24981,neg
34838,neg
27117,neg
33950,neg
5040,neg
20807,neg
19786,neg
22519,neg
35714,neg
27627,pos
34985,neg
31230,neg
3721,neg
14824,neg
14542,neg
32854,neg
19800,neg
13962,neg
35925,neg
16576,neg
6454,neg
30250,neg
32101,neg
9481,neg
21018,neg
21341,neg
733,neg
14083,neg
1690,neg
34404,neg
25939,neg
11309,neg
15223,neg
35607,neg
3609,neg
14056,neg
32801,neg
7071,neg
722,neg
1159,pos
17956,neg
10349,neg
25574,neg
23215,neg
6772,neg
1360,neg
29730,neg
2257,neg
1538,neg
24870,neg
20274,neg
27696,neg
30133,neg
7323,neg
8444,neg
32256,neg
17208,neg
3961,neg
10423,neg
11438,neg
2568,neg
31184,neg
22860,neg
13242,neg
19024,neg
16117,neg
28267,neg
21467,neg
30038,neg
31323,neg
3407,neg
17119,neg
4595,neg
24999,neg
5765,neg
32320,neg
754,neg
27121,neg
27319,neg
18417,neg
6166,neg
11164,neg
15906,neg
14533,neg
22638,neg
33201,neg
6116,neg
1315,neg
11273,neg
15968,neg
4100,neg
1904,neg
18892,neg
16009,neg
22561,neg
4993,neg
6614,neg
7202,neg
2527,neg
8550,neg
33210,neg
35038,neg
2969,neg
21822,neg
31490,neg
13254,neg
33724,neg
21287,neg
32843,neg
26629,neg
5583,neg
8459,neg
30081,neg
30906,neg
25538,neg
14454,pos
26213,neg
12220,neg
29571,neg
16866,neg
5060,neg
4418,neg
1321,neg
10243,neg
28595,neg
4869,pos
11420,pos
1236,neg
24872,neg
9558,neg
23624,neg
30480,neg
33603,neg
22985,neg
31049,neg
34428,neg
2763,neg
3740,neg
20790,neg
4686,neg
3178,neg
30524,neg
20243,neg
21272,neg
19753,neg
34144,neg
33246,neg
20882,neg
2883,neg
2292,neg
32647,neg
21064,neg
28111,neg
34351,neg
6849,pos
136,pos
20236,neg
36100,neg
7562,neg
6046,neg
15895,neg
31763,neg
14134,neg
20532,neg
18129,neg
22215,neg
24222,neg
6677,neg
25968,neg
32780,neg
18852,neg
20207,neg
31011,neg
3027,neg
33583,neg
17998,neg
5743,neg
29174,neg
12852,neg
26373,neg
27402,neg
7633,neg
2204,neg
17837,neg
35169,neg
9987,neg
26996,neg
20423,neg
5879,neg
7110,neg
16273,neg
1052,neg
35922,neg
20688,neg
21107,neg
9162,neg
228,pos
32666,neg
17921,neg
15606,neg
13386,neg
4188,neg
28377,neg
20652,pos
3204,neg
25872,neg
3857,neg
10962,neg
30110,neg
11724,neg
12088,neg
15219,neg
20811,neg
10040,neg
25483,neg
34016,neg
22570,neg
11355,neg
10936,neg
18271,neg
24119,neg
11107,pos
23674,neg
14863,neg
4777,neg
14657,neg
11082,neg
21262,neg
10584,neg
35136,neg
17503,neg
33859,neg
30872,neg
9863,neg
23270,neg
25464,neg
9935,neg
14505,neg
29813,neg
19618,neg
7387,neg
8742,neg
11927,neg
21013,neg
17411,neg
22088,neg
11294,pos
32722,neg
27172,neg
25012,neg
21819,neg
10517,neg
21031,neg
2732,neg
25324,neg
9618,neg
9574,neg
6752,neg
11532,neg
4336,neg
19573,neg
9189,neg
11498,neg
7654,neg
16534,neg
23057,neg
15890,neg
24319,neg
4216,neg
22625,neg
32419,neg
30931,neg
20637,neg
843,neg
6516,neg
915,neg
23540,neg
10961,pos
28725,neg
10312,neg
33503,neg
24360,neg
18357,neg
3196,neg
22911,neg
9802,neg
15023,neg
15563,neg
26733,neg
15381,neg
28139,neg
12707,neg
24320,neg
28532,neg
32831,neg
20666,neg
34266,neg
14931,neg
8679,neg
25891,neg
23145,neg
22116,neg
31055,neg
10091,neg
13249,neg
24541,neg
19346,neg
25207,neg
11820,neg
19589,neg
10585,neg
23537,neg
25575,neg
9439,neg
8886,neg
13858,neg
15961,neg
25925,neg
3131,neg
34029,neg
8563,neg
20146,neg
16753,neg
30433,neg
6061,neg
142,pos
26474,neg
4502,neg
31433,neg
30113,neg
7448,neg
29555,neg
32987,neg
7420,neg
14267,neg
23394,neg
20771,neg
27754,neg
12974,neg
2388,neg
34493,pos
22793,neg
26263,neg
33163,neg
3950,neg
5679,neg
14983,neg
1204,neg
33590,neg
29281,neg
32016,neg
13158,neg
13677,neg
3134,neg
32914,pos
29233,neg
7515,neg
19693,neg
22318,neg
34005,neg
12200,neg
51,pos
18981,neg
35291,neg
12433,neg
1471,neg
23911,neg
23256,neg
2124,neg
14544,neg
35332,neg
5393,neg
29372,neg
18887,neg
29566,neg
3632,neg
2812,neg
32340,neg
22086,neg
14260,neg
30859,neg
27855,neg
10430,neg
18102,neg
28833,neg
4534,neg
27836,neg
28207,neg
9940,neg
33339,neg
30368,neg
13213,neg
25113,neg
20389,neg
3600,neg
28136,neg
11939,neg
4068,neg
28336,neg
11699,neg
19614,neg
26206,neg
5824,neg
2037,neg
31359,neg
31572,neg
34267,neg
9929,neg
24239,neg
14238,neg
30984,neg
12357,neg
2962,neg
25214,neg
6839,neg
21522,neg
22794,neg
19596,neg
12197,neg
31168,neg
52,pos
35536,neg
5387,neg
7541,pos
7821,neg
14577,neg
25969,neg
35205,neg
26575,neg
16106,neg
24895,neg
11915,neg
15928,neg
19203,neg
11109,neg
36182,neg
19290,neg
10629,neg
17226,neg
34501,neg
34950,neg
26376,neg
28062,neg
28919,neg
15883,neg
2235,neg
7334,neg
32788,neg
11745,neg
35018,neg
33454,neg
15712,neg
24407,neg
35901,neg
25200,neg
2266,neg
5947,neg
24419,neg
25744,neg
5801,neg
7277,neg
25552,neg
20152,neg
26505,neg
4566,neg
3353,neg
36110,neg
27159,neg
32646,neg
1378,neg
17574,neg
3552,neg
28540,neg
25449,neg
12377,neg
25527,neg
23622,neg
17756,neg
21434,neg
18257,neg
26730,neg
4517,neg
22574,neg
5669,neg
26930,neg
33411,neg
